Seed,RequestedDelta,ActualEvidenceDelta,ActualPoInf,TheoreticalBound,BoundSatisfied,BoundaryGap,TopNConditionSatisfied,FixedNMaskAgreement,FullRuleMaskAgreement,BaseSelectedCount,FullRuleN0,FullRuleSelectedCount,FullRuleESS
20270008,0.05,0.0499998838683485,0.16706373776905,0.433048874584222,1,0.00107493247463375,0,0.999495442708333,0.999495442708333,31358,31358,31358,0.749894833951771
20270009,0,0,0,0,1,0.000523772185576754,1,1,1,31182,31182,31182,0.751298510830869
20270009,0.0001,9.99997814750131e-05,0.000583499975230883,0.0142399841787826,1,0.000523772185576754,0,1,1,31182,31182,31182,0.751298510830869
20270009,0.001,0.000999997882224823,0.00538505538579392,0.0466718352807202,1,0.000523772185576754,0,1,1,31182,31182,31182,0.751298510830869
20270009,0.01,0.00999990350861451,0.0619565675245796,0.163999092979347,1,0.000523772185576754,0,0.999967447916667,0.999943033854167,31182,31179,31179,0.751322437149711
20270009,0.05,0.0499999269789884,0.18213175779973,0.433049113007535,1,0.000523772185576754,0,0.999560546875,0.999593098958333,31182,31190,31190,0.751234707315332
20270010,0,0,0,0,1,0.000746645993261574,1,1,1,31096,31096,31096,0.751984398749046
20270010,0.0001,9.99993290384475e-05,0.000578474047361666,0.0142399514223048,1,0.000746645993261574,0,1,1,31096,31096,31096,0.751984398749046
20270010,0.001,0.000999991116440229,0.00526695316384662,0.0466716692753989,1,0.000746645993261574,0,1,1,31096,31096,31096,0.751984398749046
20270010,0.01,0.00999999091075321,0.0577068700379347,0.163999914561066,1,0.000746645993261574,0,0.99990234375,0.999910481770833,31096,31095,31095,0.751992374191311
20270010,0.05,0.0499993371290191,0.166818280983191,0.433045850838335,1,0.000746645993261574,0,0.999609375,0.999593098958333,31096,31094,31094,0.752000349633607
